Date,Mean days to pending,Mean Price reduction
1/27/2018,49,0.045619162
2/3/2018,48,0.046532464
2/10/2018,47,0.048535741
2/17/2018,46,0.049168844
2/24/2018,43,0.048167891
3/3/2018,42,0.047288417
3/10/2018,40,0.04445831
3/17/2018,38,0.042958179
3/24/2018,37,0.042379745
3/31/2018,35,0.041987246
4/7/2018,32,0.042493631
4/14/2018,30,0.042185841
4/21/2018,27,0.042465899
4/28/2018,26,0.041179178
5/5/2018,24,0.03971423
5/12/2018,24,0.040623219
5/19/2018,23,0.039831881
5/26/2018,23,0.039996322
6/2/2018,23,0.04086479
6/9/2018,24,0.039733135
6/16/2018,24,0.040034275
6/23/2018,24,0.03940428
6/30/2018,25,0.038871762
7/7/2018,25,0.038921251
7/14/2018,26,0.038807037
7/21/2018,27,0.038978205
7/28/2018,28,0.038756772
8/4/2018,28,0.038275927
8/11/2018,29,0.037725232
8/18/2018,29,0.037497163
8/25/2018,30,0.037459118
9/1/2018,31,0.037717982
9/8/2018,33,0.037247122
9/15/2018,34,0.03716121
9/22/2018,36,0.03699253
9/29/2018,36,0.03674045
10/6/2018,37,0.037384184
10/13/2018,38,0.03759181
10/20/2018,40,0.037792099
10/27/2018,43,0.038098785
11/3/2018,45,0.037782122
11/10/2018,44,0.037744292
11/17/2018,46,0.03855625
11/24/2018,46,0.039979776
12/1/2018,49,0.040357193
12/8/2018,51,0.041865854
12/15/2018,54,0.041885905
12/22/2018,59,0.0423809
12/29/2018,60,0.043114645
1/5/2019,64,0.04124442
1/12/2019,67,0.040564809
1/19/2019,65,0.039415063
1/26/2019,65,0.040152902
2/2/2019,63,0.041252581
2/9/2019,63,0.041728795
2/16/2019,63,0.041316723
2/23/2019,62,0.039966156
3/2/2019,61,0.039662351
3/9/2019,55,0.039414061
3/16/2019,52,0.038653009
3/23/2019,51,0.038387589
3/30/2019,48,0.039303899
4/6/2019,47,0.038860996
4/13/2019,44,0.039105868
4/20/2019,40,0.039744991
4/27/2019,39,0.038165014
5/4/2019,38,0.03793047
5/11/2019,36,0.038085251
5/18/2019,35,0.037096111
5/25/2019,34,0.037157461
6/1/2019,32,0.036939784
6/8/2019,34,0.036504731
6/15/2019,34,0.036192443
6/22/2019,34,0.036196583
6/29/2019,33,0.036132122
7/6/2019,31,0.036328161
7/13/2019,33,0.036138525
7/20/2019,34,0.035653143
7/27/2019,35,0.035736918
8/3/2019,36,0.035690989
8/10/2019,38,0.035766776
8/17/2019,38,0.035824954
8/24/2019,40,0.03578196
8/31/2019,41,0.03600403
9/7/2019,42,0.036220156
9/14/2019,44,0.036385534
9/21/2019,45,0.036718551
9/28/2019,45,0.036528642
10/5/2019,47,0.036684705
10/12/2019,47,0.037008367
10/19/2019,49,0.037115191
10/26/2019,50,0.037167895
11/2/2019,50,0.037360045
11/9/2019,51,0.037702716
11/16/2019,51,0.038281653
11/23/2019,53,0.038547804
11/30/2019,56,0.038567348
12/7/2019,60,0.038226238
12/14/2019,64,0.038708527
12/21/2019,66,0.039297994
12/28/2019,69,0.039515697
1/4/2020,69,0.039715263
1/11/2020,69,0.03894689
1/18/2020,72,0.038930289
1/25/2020,71,0.039899564
2/1/2020,71,0.040336549
2/8/2020,70,0.040126401
2/15/2020,67,0.040519613
2/22/2020,66,0.040950134
2/29/2020,62,0.040413044
3/7/2020,58,0.040546325
3/14/2020,55,0.039588242
3/21/2020,49,0.03826939
3/28/2020,47,0.040155943
4/4/2020,49,0.041043885
4/11/2020,53,
4/18/2020,56,0.046611477
4/25/2020,56,0.047529115
5/2/2020,55,0.047367569
5/9/2020,52,0.042575604
5/16/2020,48,0.040395645
5/23/2020,46,0.036852605
5/30/2020,43,0.035241609
6/6/2020,41,0.034993626
6/13/2020,42,0.034588388
6/20/2020,42,0.034771982
6/27/2020,41,0.035148199
7/4/2020,39,0.036034377
7/11/2020,38,0.036514828
7/18/2020,36,0.036637501
7/25/2020,35,0.036614244
8/1/2020,36,0.036073115
8/8/2020,35,0.036011467
8/15/2020,34,0.036260935
8/22/2020,32,0.036309847
8/29/2020,30,0.03642379
9/5/2020,31,0.036393821
9/12/2020,31,0.037384775
9/19/2020,31,0.037573111
9/26/2020,30,0.03733565
10/3/2020,30,0.037263424
10/10/2020,29,0.036344862
10/17/2020,29,0.037083353
10/24/2020,31,0.037357215
10/31/2020,30,0.037534715
11/7/2020,31,0.037572259
11/14/2020,33,0.037188113
11/21/2020,31,0.037809775
11/28/2020,32,0.038239674
12/5/2020,34,0.03842429
12/12/2020,35,0.039480434
12/19/2020,37,0.039861988
12/26/2020,37,0.04059919
1/2/2021,38,0.041625379
1/9/2021,39,
1/16/2021,44,0.044308558
1/23/2021,44,0.044064194
1/30/2021,43,0.044982225
2/6/2021,39,0.042040013
2/13/2021,33,0.043061448
2/20/2021,32,0.044225706
2/27/2021,31,0.045198147
3/6/2021,31,0.047171146
3/13/2021,29,0.047385999
3/20/2021,27,0.046552762
3/27/2021,23,0.044800418
4/3/2021,21,0.044843008
4/10/2021,20,0.04390657
4/17/2021,19,0.045869804
4/24/2021,19,0.046210473
5/1/2021,19,0.045528388
5/8/2021,17,0.046423582
5/15/2021,16,0.045900767
5/22/2021,15,0.046522361
5/29/2021,15,0.047232579
6/5/2021,15,0.047234696
6/12/2021,15,0.047246622
6/19/2021,15,0.046642916
6/26/2021,15,0.045805023
7/3/2021,15,0.045522229
7/10/2021,15,0.044850025
7/17/2021,15,0.045144801
7/24/2021,16,0.045320033
7/31/2021,17,0.04534095
8/7/2021,17,0.045390038
8/14/2021,18,0.045599479
8/21/2021,19,0.045771216
8/28/2021,20,0.04569502
9/4/2021,20,0.045844614
9/11/2021,21,0.045389262
9/18/2021,21,0.044133644
9/25/2021,23,0.043809159
10/2/2021,24,0.043562996
10/9/2021,24,0.043009036
10/16/2021,25,0.044612926
10/23/2021,24,0.044360345
10/30/2021,25,0.045267619
11/6/2021,25,0.046940266
11/13/2021,26,0.045798286
11/20/2021,26,0.046843069
11/27/2021,25,0.045761126
12/4/2021,26,0.045601282
12/11/2021,27,0.047123148
12/18/2021,27,0.04786595
12/25/2021,29,0.05037798
1/1/2022,31,0.050125272
1/8/2022,33,0.049650127
1/15/2022,34,0.05045356
1/22/2022,35,0.051982281
1/29/2022,34,0.053721813
2/5/2022,32,0.055630938
2/12/2022,32,0.055279614
2/19/2022,31,0.05286639
2/26/2022,29,0.051752978
3/5/2022,26,0.05329987
3/12/2022,23,0.053724045
3/19/2022,21,0.054596824
3/26/2022,20,0.056315455
4/2/2022,19,0.055682997
4/9/2022,19,0.056188871
4/16/2022,19,0.056797626
4/23/2022,18,0.055789821
4/30/2022,17,0.054528074
5/7/2022,16,0.053945153
5/14/2022,15,0.053529707
5/21/2022,15,0.053756654
5/28/2022,15,0.052223101
6/4/2022,15,0.050772973
6/11/2022,16,0.049253173
6/18/2022,16,0.048495113
6/25/2022,16,0.048121284
7/2/2022,17,0.0478288
7/9/2022,17,0.047222327
7/16/2022,18,0.046359259
7/23/2022,19,0.046103514
7/30/2022,20,0.046162217
8/6/2022,21,0.046237536
8/13/2022,23,0.045685577
8/20/2022,23,0.045811913
8/27/2022,25,0.044952347
9/3/2022,26,0.044617627
9/10/2022,28,0.043960058
9/17/2022,29,0.04387744
9/24/2022,30,0.044223903
10/1/2022,31,0.044289952
10/8/2022,31,0.045212194
10/15/2022,32,0.045150419
10/22/2022,32,0.045620428
10/29/2022,32,0.045377085
11/5/2022,32,0.045520956
11/12/2022,33,0.046210808
11/19/2022,34,0.046038588
11/26/2022,34,0.045880566
12/3/2022,37,0.045719769
12/10/2022,39,0.045318769
12/17/2022,42,0.04485781
12/24/2022,44,0.046626324
12/31/2022,45,0.047211023
1/7/2023,48,0.046665885
1/14/2023,49,0.046658886
1/21/2023,49,0.045614816
1/28/2023,50,0.045657203
2/4/2023,49,0.046614198
2/11/2023,49,0.047984087
2/18/2023,49,0.04782246
2/25/2023,48,0.047830723
3/4/2023,47,0.047673063
3/11/2023,43,0.047749572
3/18/2023,42,0.047151786
3/25/2023,39,0.047284795
4/1/2023,35,0.048498447
4/8/2023,33,0.047831857
4/15/2023,31,0.049207661
4/22/2023,28,0.04942711
4/29/2023,27,0.048852512
5/6/2023,27,0.049231939
5/13/2023,25,0.049791943
5/20/2023,25,0.051109657
5/27/2023,23,0.051039326
6/3/2023,23,0.050297829
6/10/2023,23,0.048880826
6/17/2023,22,0.047091456
6/24/2023,22,0.046060776
7/1/2023,22,0.047182945
7/8/2023,22,0.047644954
7/15/2023,23,0.0479888
7/22/2023,23,0.048976436
7/29/2023,23,0.048135352
8/5/2023,23,0.048383278
8/12/2023,23,0.04720261
8/19/2023,24,0.046167778
8/26/2023,23,0.045744917
9/2/2023,24,0.044725776
9/9/2023,26,0.045065577
9/16/2023,27,0.045603961
9/23/2023,28,0.045845706
9/30/2023,28,0.045499777
10/7/2023,28,0.045001171
10/14/2023,29,0.044128936
10/21/2023,28,0.043026369
10/28/2023,29,0.042720031
11/4/2023,29,0.043202495
11/11/2023,29,0.043614465
11/18/2023,31,0.044045297
11/25/2023,31,0.044974968
12/2/2023,33,0.044798674
12/9/2023,35,0.044751711
12/16/2023,37,0.044920401
12/23/2023,40,0.045794149
12/30/2023,42,0.045431659
1/6/2024,44,0.044735583
1/13/2024,43,0.044397606
1/20/2024,42,0.043439731
1/27/2024,42,0.043778061
2/3/2024,42,0.043272577
